0.0,16.0,17.0
1.0,25.0,26.0
2.0,14.0,15.0
3.0,12.0,13.0
4.0,16.0,17.0
5.0,14.0,15.0
6.0,14.0,15.0
7.0,10.0,11.0
8.0,9.0,10.0
9.0,30.0,31.0
10.0,43.0,44.0
11.0,10.0,11.0
12.0,19.0,20.0
13.0,12.0,13.0
14.0,44.0,45.0
15.0,15.0,16.0
16.0,22.0,23.0
17.0,31.0,32.0
18.0,16.0,17.0
19.0,13.0,14.0
20.0,28.0,29.0
21.0,19.0,20.0
22.0,10.0,11.0
23.0,10.0,11.0
24.0,12.0,13.0
25.0,13.0,14.0
26.0,15.0,16.0
27.0,27.0,28.0
28.0,12.0,13.0
29.0,13.0,14.0
30.0,33.0,34.0
31.0,15.0,16.0
32.0,10.0,11.0
33.0,14.0,15.0
34.0,14.0,15.0
35.0,8.0,9.0
36.0,27.0,28.0
37.0,15.0,16.0
38.0,19.0,20.0
39.0,13.0,14.0
40.0,30.0,31.0
41.0,31.0,32.0
42.0,12.0,13.0
43.0,11.0,12.0
44.0,17.0,18.0
45.0,17.0,18.0
46.0,12.0,13.0
47.0,11.0,12.0
48.0,16.0,17.0
49.0,12.0,13.0
50.0,12.0,13.0
51.0,36.0,37.0
52.0,15.0,16.0
53.0,9.0,10.0
54.0,25.0,26.0
55.0,10.0,11.0
56.0,17.0,18.0
57.0,12.0,13.0
58.0,21.0,22.0
59.0,18.0,19.0
60.0,18.0,19.0
61.0,33.0,34.0
62.0,19.0,20.0
63.0,9.0,10.0
64.0,27.0,28.0
65.0,42.0,43.0
66.0,15.0,16.0
67.0,46.0,47.0
68.0,16.0,17.0
69.0,20.0,21.0
70.0,24.0,25.0
71.0,16.0,17.0
72.0,22.0,23.0
73.0,53.0,54.0
74.0,43.0,44.0
75.0,13.0,14.0
76.0,41.0,42.0
77.0,23.0,24.0
78.0,23.0,24.0
79.0,14.0,15.0
80.0,111.0,112.0
81.0,21.0,22.0
82.0,36.0,37.0
83.0,24.0,25.0
84.0,29.0,30.0
85.0,126.0,127.0
86.0,106.0,107.0
87.0,45.0,46.0
88.0,52.0,53.0
89.0,39.0,40.0
90.0,45.0,46.0
91.0,49.0,50.0
92.0,36.0,37.0
93.0,375.0,376.0
94.0,50.0,51.0
95.0,31.0,32.0
96.0,42.0,43.0
97.0,23.0,24.0
98.0,184.0,185.0
99.0,45.0,46.0
100.0,45.0,46.0
101.0,70.0,71.0
102.0,184.0,185.0
103.0,137.0,138.0
104.0,69.0,70.0
