epi,end_time_step,total_return
157.0,648.0,231.0
158.0,711.0,231.0
159.0,808.0,189.0
160.0,626.0,189.0
161.0,597.0,189.0
162.0,384.0,147.0
163.0,733.0,252.0
164.0,682.0,210.0
165.0,840.0,336.0
166.0,722.0,273.0
167.0,808.0,315.0
168.0,871.0,378.0
169.0,872.0,315.0
170.0,914.0,399.0
171.0,519.0,168.0
172.0,616.0,210.0
173.0,850.0,273.0
174.0,647.0,210.0
175.0,615.0,210.0
176.0,829.0,189.0
177.0,904.0,294.0
178.0,786.0,189.0
179.0,957.0,399.0
180.0,648.0,315.0
181.0,904.0,336.0
182.0,626.0,252.0
183.0,744.0,231.0
184.0,626.0,231.0
185.0,850.0,357.0
186.0,637.0,189.0
187.0,882.0,315.0
188.0,733.0,189.0
189.0,839.0,399.0
190.0,850.0,378.0
191.0,639.0,231.0
192.0,637.0,189.0
193.0,669.0,294.0
194.0,512.0,168.0
195.0,682.0,252.0
196.0,754.0,210.0
197.0,555.0,189.0
198.0,648.0,252.0
199.0,562.0,210.0
0.0,679.0,231.0
1.0,829.0,294.0
2.0,808.0,210.0
3.0,765.0,189.0
4.0,701.0,273.0
5.0,850.0,336.0
6.0,882.0,462.0
7.0,861.0,315.0
8.0,725.0,231.0
9.0,861.0,336.0
10.0,765.0,231.0
11.0,797.0,210.0
12.0,765.0,231.0
13.0,957.0,357.0
14.0,597.0,189.0
15.0,775.0,315.0
16.0,641.0,210.0
17.0,690.0,294.0
18.0,1053.0,420.0
19.0,616.0,168.0
20.0,640.0,168.0
21.0,904.0,252.0
22.0,726.0,189.0
23.0,754.0,189.0
24.0,850.0,252.0
25.0,470.0,126.0
26.0,893.0,252.0
27.0,754.0,273.0
28.0,722.0,231.0
29.0,712.0,315.0
30.0,684.0,294.0
31.0,725.0,252.0
32.0,1000.0,378.0
33.0,914.0,252.0
34.0,701.0,294.0
35.0,786.0,357.0
36.0,640.0,189.0
37.0,725.0,231.0
38.0,626.0,231.0
39.0,1170.0,315.0
40.0,658.0,273.0
41.0,434.0,126.0
42.0,765.0,252.0
43.0,839.0,273.0
44.0,683.0,189.0
45.0,946.0,483.0
46.0,872.0,294.0
47.0,469.0,189.0
48.0,1053.0,315.0
49.0,786.0,231.0
50.0,683.0,189.0
51.0,701.0,294.0
52.0,797.0,168.0
53.0,455.0,189.0
54.0,658.0,168.0
